"Timestamp","What is your gender","Select the age range that best suits you","What is your current level of education?","What is your current employment status?","What is your field of study?","Have you previously used ChatGPT?","Suppose you use ChatGPT for the following. Select the one(s) you consider to be inappropriate use of ChatGPT.","Do you think that the use of ChatGPT causes the rates of plagiarism for students to be higher?","Do you think it will be important for current and future students to learn to utilize AI software like ChatGPT to further their education and learning?","If you agree, why is it important?","How do you think ChatGPT could impact students' learning?"
"2023/03/28 3:59:58 PM AST","Male","18-24","Undergraduate","Part-time student","Other","No","Answers for homework/lab assignments;Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Your job","Yes","Neutral","Not applicable (do not think it’s important for students to learn to utilize AI software)","Less creativity and weaker critical thinking skills;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 3:40:53 AM AST","Male","18-24","Undergraduate","Full-time Student","Business","Yes","Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Personal reasons/experimentation","Yes","Agree","Future job prospects will require the use of AI like ChatGPT;Other reason(s)","Students will use it along with human taught lessons to create a more reliable learning environment;Other Reasons(s)"
"2023/03/29 3:44:21 AM AST","Male","18-24","Undergraduate","Full-time Student","Engineering and Archiecture","Yes","Summarizing/helping you understand your professor’s lectures;Study preparations for test/exam;Personal reasons/experimentation","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 5:38:32 PM AST","Male","18-24","Graduate Student","Part-time student","Other","Yes","Answers for homework/lab assignments;Study preparations for test/exam","No","Neutral","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment"
"2023/03/29 5:51:33 PM AST","Female","18-24","Graduate Student","Full-time Student","Arts","No","Answers for homework/lab assignments;Summarizing/helping you understand your professor’s lectures","No","Agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment"
"2023/03/29 5:53:57 PM AST","Female","18-24","Undergraduate","Full-time Student","Sciences","No","Answers for homework/lab assignments;Your job","Yes","Agree","Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 6:00:25 PM AST","Male","18-24","Undergraduate","Full-time Student","Business","Yes","Answers for homework/lab assignments","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 6:09:41 PM AST","Male","18-24","Undergraduate","Part-time student","Business","Yes","Answers for homework/lab assignments;Personal reasons/experimentation;Your job","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 6:39:36 PM AST","Female","18-24","Undergraduate","Part-time student","Engineering and Archiecture","No","Answers for homework/lab assignments;Your job","Yes","Neutral","Not applicable (do not think it’s important for students to learn to utilize AI software)","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 7:36:19 PM AST","Female","18-24","Undergraduate","Full-time Student","Business","Yes","Answers for homework/lab assignments","Yes","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI;Other reason(s)","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 7:50:19 PM AST","Male","18-24","Undergraduate","Full-time Student","Sciences","No","Answers for homework/lab assignments;Your job","Yes","Disagree","Not applicable (do not think it’s important for students to learn to utilize AI software)","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 8:16:33 PM AST","Male","18-24","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments","Yes","Agree","Research in academia may become heavily reliant on the quick information provided by the AI","Less creativity and weaker critical thinking skills;Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 8:23:36 PM AST","Male","18-24","Undergraduate","Full-time Student","Other","Yes","Answers for homework/lab assignments","No","Agree","Other reason(s)","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 8:26:32 PM AST","Male","18-24","College Diploma","Full-time Student","Business","No","Answers for homework/lab assignments;Your job","Yes","Strongly agree","Research in academia may become heavily reliant on the quick information provided by the AI","Some students will abuse it, like all tools, but it will be overall beneficial"
"2023/03/29 8:29:48 PM AST","Male","18-24","Undergraduate","Full-time Student","Sciences","Yes","Answers for homework/lab assignments","No","Strongly agree","Future job prospects will require the use of AI like ChatGPT;Research in academia may become heavily reliant on the quick information provided by the AI","Students will use it along with human taught lessons to create a more reliable learning environment;Some students will abuse it, like all tools, but it will be overall beneficial"
